Transaction_ID,Date,Product_Category,Product_Name,City,Region,Customer_Segment,Payment_Method,Sales_Rep,Units_Sold,Unit_Price,Unit_Cost,Revenue,COGS,Marketing_Expense,Shipping_Expense,Operating_Expense,Total_Expense,Net_Profit,Profit_Margin_Pct,Year,Month,Month_Name,Year_Month,Quarter,Day_of_Week,Gross_Profit,Employee_Cost,Rent_Admin_Cost,Discount_Amount,Net_Revenue,GST_Rate_Pct,GST_Amount,Depreciation,Interest_Expense,Other_Income,Total_Operating_Expense,EBITDA,EBIT,EBT,Tax_Rate_Pct,Tax_Amount,PAT,PAT_Margin_Pct,EBITDA_Margin_Pct,EBIT_Margin_Pct,EBT_Margin_Pct,Gross_Margin_Pct,Expense_Ratio_Pct,Marketing_Ratio_Pct,Revenue_Per_Unit,Expense_Per_Unit,Profit_Per_Unit,Profitability_Tier
TXN-2074,2024-01-01,Software,Data Analytics Suite,Miami,East,Enterprise,Credit Card,Evan Wright,27,1461.89,304.86,39471.03,8231.22,3842.9,354.25,1184.13,13612.5,16472.67,42.72,2024,1,Jan,2024-01,2024Q1,Monday,30330.22,2798.25,1184.13,909.59,38561.44,18.0,6941.06,868.22,439.15,275.49,8179.53,22150.69,21282.47,21118.81,22.0,4646.14,16472.67,42.72,57.44,55.19,54.77,78.65,34.49,9.74,1428.2,504.17,610.1,High Margin (>=20%)
TXN-1123,2024-01-01,Office Supplies,Mesh Office Chair,Houston,South,Government,Credit Card,Alice Smith,26,324.34,163.01,8432.84,4238.26,774.05,254.77,339.04,5606.12,1250.43,15.25,2024,1,Jan,2024-01,2024Q1,Monday,3963.22,724.38,339.04,231.36,8201.48,18.0,1476.27,151.74,163.22,47.09,2092.24,1870.98,1719.24,1603.11,22.0,352.68,1250.43,15.25,22.81,20.96,19.55,48.32,66.48,9.18,315.44,215.62,48.09,Moderate Margin (5-20%)
TXN-1636,2024-01-02,Electronics,Ultra-Wide Monitor 34,New York,East,SMB,Direct Invoice,Evan Wright,1,667.68,363.74,667.68,363.74,53.77,12.14,39.98,469.63,81.58,12.51,2024,1,Jan,2024-01,2024Q1,Tuesday,288.5,61.67,39.98,15.44,652.24,18.0,117.4,11.86,8.79,4.3,167.56,120.94,109.08,104.59,22.0,23.01,81.58,12.51,18.54,16.72,16.04,44.23,70.34,8.05,652.24,469.63,81.58,Moderate Margin (5-20%)
TXN-1119,2024-01-02,Services,Annual IT Maintenance Plan,Austin,South,SMB,Wire Transfer,Fiona Gallagher,4,1772.65,605.58,7090.6,2422.32,754.11,46.5,212.72,3435.65,1988.05,28.37,2024,1,Jan,2024-01,2024Q1,Tuesday,4585.8,812.78,212.72,82.48,7008.12,18.0,1261.46,155.12,102.3,46.51,1826.11,2759.69,2604.57,2548.78,22.0,560.73,1988.05,28.37,39.38,37.17,36.37,65.44,48.45,10.64,1752.03,858.91,497.01,High Margin (>=20%)
TXN-1631,2024-01-02,Hardware,Gigabit Switch 24-Port,Los Angeles,West,Enterprise,Wire Transfer,Fiona Gallagher,11,476.12,251.24,5237.32,2763.64,654.63,148.87,253.2,3820.34,436.8,8.59,2024,1,Jan,2024-01,2024Q1,Tuesday,2318.66,553.41,253.2,155.02,5082.3,18.0,914.81,88.98,89.13,29.56,1610.11,708.55,619.57,560.0,22.0,123.2,436.8,8.59,13.94,12.19,11.02,45.62,72.94,12.5,462.03,347.3,39.71,Moderate Margin (5-20%)
TXN-1849,2024-01-03,Hardware,Gigabit Switch 24-Port,Houston,South,SMB,Wire Transfer,Charlie Davis,5,458.78,257.28,2293.9,1286.4,278.61,46.26,95.68,1706.95,194.31,8.65,2024,1,Jan,2024-01,2024Q1,Wednesday,959.62,218.17,95.68,47.88,2246.02,18.0,404.28,54.38,30.61,13.2,638.72,320.9,266.52,249.11,22.0,54.8,194.31,8.65,14.29,11.87,11.09,42.73,74.41,12.15,449.2,341.39,38.86,Moderate Margin (5-20%)
TXN-1278,2024-01-06,Office Supplies,Ergonomic Executive Desk,Miami,East,Enterprise,Credit Card,Fiona Gallagher,9,874.06,465.21,7866.54,4186.89,1012.43,112.35,276.72,5588.39,803.19,10.47,2024,1,Jan,2024-01,2024Q1,Saturday,3481.05,806.31,276.72,198.6,7667.94,18.0,1380.23,122.57,147.84,26.9,2207.81,1273.24,1150.67,1029.73,22.0,226.54,803.19,10.47,16.6,15.01,13.43,45.4,71.04,12.87,851.99,620.93,89.24,Moderate Margin (5-20%)
TXN-2150,2024-01-06,Software,Cloud Storage Annual,Chicago,Midwest,Enterprise,Wire Transfer,Bob Jones,19,391.06,79.42,7430.14,1508.98,1029.47,243.94,353.79,3136.18,2449.4,33.31,2024,1,Jan,2024-01,2024Q1,Saturday,5845.35,842.32,353.79,75.81,7354.33,18.0,1323.78,153.31,133.92,51.66,2469.52,3375.83,3222.52,3140.26,22.0,690.86,2449.4,33.31,45.9,43.82,42.7,79.48,42.21,13.86,387.07,165.06,128.92,High Margin (>=20%)
TXN-1104,2024-01-07,Services,Cybersecurity Audit,New York,East,Enterprise,PayPal,Charlie Davis,15,2264.52,795.67,33967.8,11935.05,2781.63,224.57,1103.53,16044.78,9861.32,29.65,2024,1,Jan,2024-01,2024Q1,Sunday,21325.34,3241.5,1103.53,707.41,33260.39,18.0,5986.87,834.27,627.76,130.64,7351.23,13974.11,13139.84,12642.72,22.0,2781.4,9861.32,29.65,42.01,39.51,38.01,64.12,47.24,8.19,2217.36,1069.65,657.42,High Margin (>=20%)
TXN-1542,2024-01-07,Hardware,NAS Storage Enclosure,Phoenix,West,Enterprise,Wire Transfer,Evan Wright,22,836.9,459.38,18411.8,10106.36,1627.5,220.7,630.63,12585.19,2395.57,13.34,2024,1,Jan,2024-01,2024Q1,Sunday,7851.18,1846.86,630.63,454.26,17957.54,18.0,3232.36,386.93,208.9,141.59,4325.69,3525.49,3138.56,3071.25,22.0,675.68,2395.57,13.34,19.63,17.48,17.1,43.72,68.35,8.84,816.25,572.05,108.89,Moderate Margin (5-20%)
TXN-1838,2024-01-08,Electronics,Laptop Pro 15,Los Angeles,West,SMB,PayPal,Charlie Davis,3,1292.68,777.02,3878.04,2331.06,446.1,43.16,168.56,2988.88,280.58,7.33,2024,1,Jan,2024-01,2024Q1,Monday,1496.47,341.73,168.56,50.51,3827.53,18.0,688.96,95.39,69.12,27.31,999.55,496.92,401.53,359.72,22.0,79.14,280.58,7.33,12.98,10.49,9.4,39.1,77.07,11.5,1275.84,996.29,93.53,Moderate Margin (5-20%)
TXN-1363,2024-01-08,Services,Cybersecurity Audit,New York,East,SMB,PayPal,Evan Wright,3,2066.09,805.81,6198.27,2417.43,499.21,39.12,229.76,3185.52,1643.3,27.21,2024,1,Jan,2024-01,2024Q1,Monday,3622.1,575.9,229.76,158.74,6039.53,18.0,1087.12,132.08,63.76,24.53,1343.99,2278.11,2146.03,2106.8,22.0,463.5,1643.3,27.21,37.72,35.53,34.88,59.97,51.39,8.05,2013.18,1061.84,547.77,High Margin (>=20%)
TXN-2097,2024-01-09,Office Supplies,Ergonomic Executive Desk,New York,East,Consumer,Wire Transfer,Fiona Gallagher,4,802.67,435.34,3210.68,1741.36,218.45,49.53,159.37,2168.71,495.68,15.66,2024,1,Jan,2024-01,2024Q1,Tuesday,1423.15,260.14,159.37,46.17,3164.51,18.0,569.61,75.87,48.34,24.04,687.49,735.66,659.79,635.49,22.0,139.81,495.68,15.66,23.25,20.85,20.08,44.97,67.55,6.8,791.13,542.18,123.92,Moderate Margin (5-20%)
TXN-1381,2024-01-09,Hardware,Gigabit Switch 24-Port,Houston,South,Enterprise,PayPal,Fiona Gallagher,6,427.34,261.07,2564.04,1566.42,286.26,32.74,147.41,2032.83,174.28,6.9,2024,1,Jan,2024-01,2024Q1,Tuesday,960.09,194.63,147.41,37.53,2526.51,18.0,454.77,39.74,46.98,11.1,661.04,299.05,259.31,223.43,22.0,49.15,174.28,6.9,11.84,10.26,8.84,38.0,79.28,11.16,421.08,338.8,29.05,Moderate Margin (5-20%)
TXN-1899,2024-01-09,Electronics,Laptop Pro 15,New York,East,SMB,Direct Invoice,Charlie Davis,2,1210.5,718.53,2421.0,1437.06,298.3,18.46,116.78,1870.6,202.57,8.59,2024,1,Jan,2024-01,2024Q1,Tuesday,921.09,171.04,116.78,62.85,2358.15,18.0,424.47,45.41,30.54,19.14,604.58,316.51,271.1,259.7,22.0,57.13,202.57,8.59,13.42,11.5,11.01,39.06,77.27,12.32,1179.08,935.3,101.28,Moderate Margin (5-20%)
TXN-1043,2024-01-12,Software,Security Firewall Pro,Los Angeles,West,SMB,Direct Invoice,Diana Prince,5,819.72,213.14,4098.6,1065.7,397.96,42.67,158.82,1665.15,1481.45,37.09,2024,1,Jan,2024-01,2024Q1,Friday,2928.72,293.95,158.82,104.18,3994.42,18.0,719.0,92.71,60.17,16.86,893.4,2035.32,1942.61,1899.3,22.0,417.85,1481.45,37.09,50.95,48.63,47.55,73.32,40.63,9.71,798.88,333.03,296.29,High Margin (>=20%)
TXN-1033,2024-01-12,Software,Enterprise ERP License,Miami,East,SMB,PayPal,Alice Smith,2,2427.59,517.24,4855.18,1034.48,300.35,26.29,146.26,1507.38,2152.82,44.98,2024,1,Jan,2024-01,2024Q1,Friday,3751.45,355.65,146.26,69.25,4785.93,18.0,861.47,120.6,70.8,28.52,828.55,2922.9,2802.3,2760.02,22.0,607.2,2152.82,44.98,61.07,58.55,57.67,78.38,31.05,6.19,2392.96,753.69,1076.41,High Margin (>=20%)
TXN-2166,2024-01-12,Hardware,NAS Storage Enclosure,New York,East,Enterprise,Credit Card,Bob Jones,19,813.41,498.99,15454.79,9480.81,1365.64,275.78,611.77,11734.0,1014.94,6.64,2024,1,Jan,2024-01,2024Q1,Friday,5805.91,1713.91,611.77,168.07,15286.72,18.0,2751.61,343.87,307.88,114.14,3967.1,1838.81,1494.94,1301.2,22.0,286.26,1014.94,6.64,12.03,9.78,8.51,37.98,75.92,8.84,804.56,617.58,53.42,Moderate Margin (5-20%)
TXN-2017,2024-01-14,Office Supplies,Ergonomic Executive Desk,Miami,East,SMB,Credit Card,Evan Wright,2,902.63,436.43,1805.26,872.86,216.43,15.64,88.04,1192.97,281.7,16.03,2024,1,Jan,2024-01,2024Q1,Sunday,884.4,142.67,88.04,48.0,1757.26,18.0,316.31,32.73,32.65,4.91,462.78,421.62,388.89,361.15,22.0,79.45,281.7,16.03,23.99,22.13,20.55,50.33,66.08,11.99,878.63,596.48,140.85,Moderate Margin (5-20%)
TXN-1740,2024-01-15,Hardware,Rack Server Blade X,Houston,South,Enterprise,Credit Card,Alice Smith,18,3422.34,2013.15,61602.12,36236.7,7634.91,251.75,2884.19,47007.55,5452.86,8.96,2024,1,Jan,2024-01,2024Q1,Monday,24654.46,5473.18,2884.19,710.96,60891.16,18.0,10960.41,966.2,749.29,295.91,16244.03,8410.43,7444.23,6990.85,22.0,1537.99,5452.86,8.96,13.81,12.23,11.48,40.49,76.31,12.39,3382.84,2611.53,302.94,Moderate Margin (5-20%)
TXN-1068,2024-01-15,Services,Annual IT Maintenance Plan,Chicago,Midwest,SMB,Wire Transfer,Charlie Davis,7,1828.35,603.93,12798.45,4227.51,1501.19,76.93,583.28,6388.91,3463.89,27.61,2024,1,Jan,2024-01,2024Q1,Monday,8320.11,1409.24,583.28,250.83,12547.62,18.0,2258.57,197.03,148.55,37.0,3570.64,4749.47,4552.44,4440.89,22.0,977.0,3463.89,27.61,37.85,36.28,35.39,66.31,49.92,11.73,1792.52,912.7,494.84,High Margin (>=20%)
TXN-1870,2024-01-15,Electronics,Laptop Pro 15,Phoenix,West,Enterprise,PayPal,Bob Jones,25,1179.4,758.7,29485.0,18967.5,2062.15,269.87,1157.36,22456.88,1615.75,5.57,2024,1,Jan,2024-01,2024Q1,Monday,10027.92,3458.76,1157.36,489.58,28995.42,18.0,5219.18,645.32,554.2,191.21,6948.14,3079.78,2434.46,2071.47,22.0,455.72,1615.75,5.57,10.62,8.4,7.14,34.58,76.16,6.99,1159.82,898.28,64.63,Moderate Margin (5-20%)
TXN-1824,2024-01-16,Office Supplies,High-Speed Paper Shredder,Seattle,West,SMB,Credit Card,Charlie Davis,1,194.12,86.18,194.12,86.18,21.92,9.48,25.29,142.87,20.76,10.81,2024,1,Jan,2024-01,2024Q1,Tuesday,105.8,17.45,25.29,2.14,191.98,18.0,34.56,2.95,3.36,1.27,74.14,31.66,28.71,26.62,22.0,5.86,20.76,10.81,16.49,14.95,13.87,55.11,73.6,11.29,191.98,142.87,20.76,Moderate Margin (5-20%)
TXN-1184,2024-01-16,Electronics,Wireless Noise-Canceling Headset,Phoenix,West,Enterprise,Wire Transfer,Evan Wright,6,236.64,124.58,1419.84,747.48,133.75,39.73,50.33,971.29,172.95,12.37,2024,1,Jan,2024-01,2024Q1,Tuesday,650.83,161.67,50.33,21.53,1398.31,18.0,251.7,27.68,25.93,9.99,385.48,265.35,237.67,221.73,22.0,48.78,172.95,12.37,18.98,17.0,15.86,46.54,68.41,9.42,233.05,161.88,28.82,Moderate Margin (5-20%)
TXN-1618,2024-01-17,Hardware,Gigabit Switch 24-Port,Houston,South,Consumer,Wire Transfer,Fiona Gallagher,7,478.06,247.24,3346.42,1730.68,254.7,102.13,138.68,2226.19,510.02,15.64,2024,1,Jan,2024-01,2024Q1,Wednesday,1530.79,280.58,138.68,84.95,3261.47,18.0,587.06,63.73,50.13,13.03,776.09,754.7,690.97,653.87,22.0,143.85,510.02,15.64,23.14,21.19,20.05,46.94,66.52,7.61,465.92,318.03,72.86,Moderate Margin (5-20%)
TXN-1528,2024-01-17,Office Supplies,Standing Desk Converter,Austin,South,Consumer,Credit Card,Bob Jones,4,282.57,146.7,1130.28,586.8,137.73,24.25,59.34,808.12,114.65,10.46,2024,1,Jan,2024-01,2024Q1,Wednesday,509.65,94.57,59.34,33.83,1096.45,18.0,197.36,28.09,21.99,3.31,315.89,193.76,165.67,146.99,22.0,32.34,114.65,10.46,17.67,15.11,13.41,46.48,71.5,12.19,274.11,202.03,28.66,Moderate Margin (5-20%)
TXN-1512,2024-01-18,Software,Enterprise ERP License,Seattle,West,SMB,PayPal,Alice Smith,2,2476.6,481.53,4953.2,963.06,412.5,27.38,232.52,1635.46,2099.24,42.86,2024,1,Jan,2024-01,2024Q1,Thursday,3934.53,450.31,232.52,55.61,4897.59,18.0,881.57,74.37,74.31,28.19,1122.71,2811.82,2737.45,2691.33,22.0,592.09,2099.24,42.86,57.41,55.89,54.95,80.34,33.02,8.33,2448.8,817.73,1049.62,High Margin (>=20%)
TXN-1739,2024-01-18,Hardware,Rack Server Blade X,Los Angeles,West,SMB,Wire Transfer,Bob Jones,6,3276.85,2132.27,19661.1,12793.62,2683.69,30.18,589.83,16097.32,620.49,3.22,2024,1,Jan,2024-01,2024Q1,Thursday,6474.94,1807.97,589.83,392.54,19268.56,18.0,3468.34,397.44,271.96,101.63,5111.67,1363.27,965.83,795.5,22.0,175.01,620.49,3.22,7.08,5.01,4.13,33.6,81.87,13.65,3211.43,2682.89,103.42,Low Margin (0-5%)
TXN-1732,2024-01-19,Office Supplies,High-Speed Paper Shredder,Miami,East,Consumer,PayPal,Diana Prince,6,175.91,87.98,1055.46,527.88,131.49,52.02,58.88,770.27,87.67,8.49,2024,1,Jan,2024-01,2024Q1,Friday,505.17,116.87,58.88,22.41,1033.05,18.0,185.95,24.52,11.95,2.96,359.26,145.91,121.39,112.4,22.0,24.73,87.67,8.49,14.12,11.75,10.88,48.9,72.98,12.46,172.18,128.38,14.61,Moderate Margin (5-20%)
TXN-1298,2024-01-19,Office Supplies,Mesh Office Chair,Seattle,West,Enterprise,Credit Card,Diana Prince,20,324.96,166.85,6499.2,3337.0,873.05,168.38,239.09,4617.52,793.81,12.45,2024,1,Jan,2024-01,2024Q1,Friday,3036.96,525.08,239.09,125.24,6373.96,18.0,1147.31,117.76,119.13,23.23,1805.6,1231.36,1113.6,1017.7,22.0,223.89,793.81,12.45,19.32,17.47,15.97,47.65,71.05,13.43,318.7,230.88,39.69,Moderate Margin (5-20%)
