Transaction_ID,Date,Product_Category,Product_Name,City,Region,Customer_Segment,Payment_Method,Sales_Rep,Units_Sold,Unit_Price,Unit_Cost,Revenue,COGS,Marketing_Expense,Shipping_Expense,Operating_Expense,Total_Expense,Net_Profit,Profit_Margin_Pct
TXN-1001,2024-04-12,Hardware,Rack Server Blade X,Los Angeles,West,SMB,PayPal,Bob Jones,3,2995.19,2091.44,8985.57,6274.32,779.02,19.29,882.07,7954.7,1030.87,11.47
TXN-1002,2024-12-09,Hardware,Gigabit Switch 24-Port,Austin,South,Enterprise,Direct Invoice,Evan Wright,5,435.91,260.64,2179.55,1303.2,206.09,39.56,230.7,1779.55,400.0,18.35
TXN-1003,2025-04-20,Hardware,NAS Storage Enclosure,Miami,East,SMB,Direct Invoice,Alice Smith,3,824.92,488.65,2474.76,1465.95,237.68,15.4,340.76,2059.79,414.97,16.77
TXN-1004,2026-02-15,Software,Enterprise ERP License,Boston,East,SMB,PayPal,Diana Prince,7,2544.0,516.66,17808.0,3616.62,1315.46,62.37,1182.89,6177.34,11630.66,65.31
TXN-1005,2025-01-24,Software,Security Firewall Pro,Austin,South,Enterprise,Wire Transfer,Bob Jones,16,909.77,228.69,14556.32,3659.04,1569.64,227.5,849.74,6305.92,8250.4,56.68
TXN-1006,2025-12-02,Services,Annual IT Maintenance Plan,Boston,East,SMB,Direct Invoice,Bob Jones,1,1736.91,602.56,1736.91,602.56,123.8,13.02,175.12,914.5,822.41,47.35
TXN-1007,2024-12-09,Electronics,Ultra-Wide Monitor 34,Los Angeles,West,Enterprise,PayPal,Charlie Davis,21,671.98,391.03,14111.58,8211.63,1530.78,299.52,1423.62,11465.55,2646.03,18.75
TXN-1008,2024-07-19,Hardware,Gigabit Switch 24-Port,New York,East,Enterprise,PayPal,Fiona Gallagher,28,461.95,262.37,12934.6,7346.36,1060.35,297.15,1071.74,9775.6,3159.0,24.42
TXN-1009,2025-10-04,Electronics,Laptop Pro 15,Seattle,West,Enterprise,Wire Transfer,Charlie Davis,13,1240.45,720.82,16125.85,9370.66,1534.32,91.22,1865.96,12862.16,3263.69,20.24
TXN-1010,2024-04-05,Hardware,Gigabit Switch 24-Port,Houston,South,Enterprise,Credit Card,Charlie Davis,8,481.89,262.57,3855.12,2100.56,445.59,110.44,398.98,3055.57,799.55,20.74
TXN-1011,2025-10-07,Hardware,Gigabit Switch 24-Port,Seattle,West,Enterprise,Credit Card,Fiona Gallagher,5,433.59,263.84,2167.95,1319.2,130.17,42.63,184.53,1676.53,491.42,22.67
TXN-1012,2025-02-14,Electronics,Smart Display 10,Houston,South,SMB,Wire Transfer,Diana Prince,7,331.42,194.38,2319.94,1360.66,242.78,63.27,161.77,1828.48,491.46,21.18
TXN-1013,2024-09-24,Software,Data Analytics Suite,New York,East,Enterprise,Direct Invoice,Alice Smith,21,1614.39,297.33,33902.19,6243.93,2123.77,177.46,3261.36,11806.52,22095.67,65.17
TXN-1014,2024-02-22,Hardware,Gigabit Switch 24-Port,Austin,South,Enterprise,Direct Invoice,Charlie Davis,28,431.11,265.93,12071.08,7446.04,1079.43,317.05,1191.02,10033.54,2037.54,16.88
TXN-1015,2026-01-21,Electronics,Laptop Pro 15,Austin,South,SMB,PayPal,Diana Prince,4,1234.09,713.74,4936.36,2854.96,498.41,29.06,500.22,3882.65,1053.71,21.35
TXN-1016,2025-10-01,Software,Security Firewall Pro,New York,East,SMB,Credit Card,Alice Smith,2,907.76,228.3,1815.52,456.6,146.4,23.2,247.95,874.15,941.37,51.85
TXN-1017,2025-07-25,Electronics,Smart Display 10,New York,East,Enterprise,Direct Invoice,Evan Wright,9,371.43,193.77,3342.87,1743.93,275.15,108.03,436.64,2563.75,779.12,23.31
TXN-1018,2024-02-23,Electronics,Ultra-Wide Monitor 34,Chicago,Midwest,Enterprise,Direct Invoice,Diana Prince,10,667.57,383.07,6675.7,3830.7,599.36,144.01,825.81,5399.88,1275.82,19.11
TXN-1019,2026-05-27,Software,Cloud Storage Annual,Austin,South,SMB,Credit Card,Alice Smith,4,413.58,77.9,1654.32,311.6,142.32,49.86,228.9,732.68,921.64,55.71
TXN-1020,2025-02-04,Electronics,Ultra-Wide Monitor 34,Miami,East,SMB,Wire Transfer,Fiona Gallagher,6,699.19,375.94,4195.14,2255.64,551.09,67.87,493.32,3367.92,827.22,19.72
TXN-1021,2024-10-10,Electronics,Laptop Pro 15,Miami,East,SMB,Direct Invoice,Alice Smith,1,1294.95,747.75,1294.95,747.75,106.66,13.83,209.71,1077.95,217.0,16.76
TXN-1022,2024-12-14,Electronics,Smart Display 10,Houston,South,SMB,Direct Invoice,Alice Smith,4,338.49,197.7,1353.96,790.8,173.43,32.68,137.17,1134.08,219.88,16.24
TXN-1023,2026-01-04,Software,Data Analytics Suite,Los Angeles,West,Enterprise,Wire Transfer,Fiona Gallagher,27,1413.62,300.55,38167.74,8114.85,4969.05,335.01,3832.78,17251.69,20916.05,54.8
TXN-1024,2024-06-24,Services,Cloud Migration Consulting,Phoenix,West,SMB,Wire Transfer,Alice Smith,5,3265.69,1140.62,16328.45,5703.1,1799.91,34.71,941.31,8479.03,7849.42,48.07
TXN-1025,2025-10-15,Hardware,NAS Storage Enclosure,Phoenix,West,Enterprise,Wire Transfer,Bob Jones,27,801.47,471.75,21639.69,12737.25,1566.79,400.1,2424.41,17128.55,4511.14,20.85
TXN-1026,2024-10-31,Hardware,Gigabit Switch 24-Port,Austin,South,Enterprise,PayPal,Diana Prince,9,451.6,267.02,4064.4,2403.18,314.04,101.06,250.6,3068.88,995.52,24.49
TXN-1027,2026-06-02,Office Supplies,Standing Desk Converter,Los Angeles,West,SMB,Credit Card,Bob Jones,4,289.61,133.57,1158.44,534.28,106.47,37.34,153.31,831.4,327.04,28.23
TXN-1028,2025-04-18,Services,Cloud Migration Consulting,Phoenix,West,SMB,Direct Invoice,Evan Wright,1,3317.04,1158.77,3317.04,1158.77,265.43,10.49,391.39,1826.08,1490.96,44.95
